Open time,Open,High,Low,Close,Volume,Taker buy base asset volume,Taker buy quote asset volume,Symbol,OBV,OBV_MA5,Signal
2021-01-01 00:00:00,28948.19,29546.42,28706.0,29302.11,43210.161,21852.599,639328184.27201,BTCUSDT,0.0,,0
2021-01-01 04:00:00,29302.11,29422.32,28822.0,29107.71,26682.086,11772.871,343245686.28692,BTCUSDT,-26682.086,,0
2021-01-01 08:00:00,29107.72,29454.45,28900.0,29341.99,29562.63,14611.792,427017709.91943,BTCUSDT,2880.5440000000017,,0
2021-01-01 12:00:00,29342.0,29668.86,29043.75,29210.84,49142.952,23957.859,704020630.83545,BTCUSDT,-46262.408,,0
2021-01-01 16:00:00,29210.85,29388.1,28627.12,29048.47,43668.17,20013.294,582409167.03692,BTCUSDT,-89930.578,,0
2021-01-01 20:00:00,29048.48,29350.0,28886.37,29337.16,18450.399,9039.487,264154209.27135,BTCUSDT,-71480.17899999999,,0
2021-01-02 00:00:00,29337.15,29500.0,28958.24,29364.67,29426.166,14374.003,420910837.89948,BTCUSDT,-42054.01299999999,,0
2021-01-02 04:00:00,29364.68,29878.0,29230.0,29777.33,36908.714,19713.021,583986273.56519,BTCUSDT,-5145.298999999992,,0
2021-01-02 08:00:00,29778.77,29950.0,29491.09,29775.52,44090.157,20810.36,619555487.90663,BTCUSDT,-49235.45599999999,,0
2021-01-02 12:00:00,29775.0,31873.02,29759.68,31717.01,144214.429,75740.689,2342430928.188,BTCUSDT,94978.973,,0
2021-01-02 16:00:00,31720.79,33480.0,31718.43,33115.41,153245.839,77522.676,2532753806.39472,BTCUSDT,248224.81200000003,,0
2021-01-02 20:00:00,33115.41,33146.49,30528.0,32199.91,137655.775,65227.714,2079327195.75492,BTCUSDT,110569.03700000004,,0
2021-01-03 00:00:00,32198.41,32928.16,32000.02,32601.49,40696.593,20046.174,652594689.28748,BTCUSDT,151265.63000000003,,0
2021-01-03 04:00:00,32601.49,34832.25,32472.0,34472.24,111294.252,58059.083,1971190077.23928,BTCUSDT,262559.88200000004,,0
2021-01-03 08:00:00,34476.0,34743.92,33457.0,34464.06,96700.107,46441.161,1586271096.40138,BTCUSDT,165859.77500000002,,0
