Exit_Time,Cumulative,Daily_Return,Cumulative_Max,Drawdown
2023-01-18,115431.98576999997,0.04074491368936228,137555.00393500002,-0.16083034082463488
2023-01-19,115202.86801999998,-0.0019848722905669858,137555.00393500002,-0.16249598542821653
2023-01-20,115202.86801999998,0.0,137555.00393500002,-0.16249598542821653
2023-01-21,115202.86801999998,0.0,137555.00393500002,-0.16249598542821653
2023-01-22,115202.86801999998,0.0,137555.00393500002,-0.16249598542821653
2023-01-23,115202.86801999998,0.0,137555.00393500002,-0.16249598542821653
2023-01-24,116486.87321999998,0.011145600991262494,137555.00393500002,-0.15316149985321892
2023-01-25,116486.87321999998,0.0,137555.00393500002,-0.15316149985321892
2023-01-26,116486.87321999998,0.0,137555.00393500002,-0.15316149985321892
2023-01-27,116486.87321999998,0.0,137555.00393500002,-0.15316149985321892
2023-01-28,116153.37481999998,-0.0028629697989244196,137555.00393500002,-0.15558597290370557
2023-01-29,116153.37481999998,0.0,137555.00393500002,-0.15558597290370557
2023-01-30,116153.37481999998,0.0,137555.00393500002,-0.15558597290370557
2023-01-31,115620.74536999999,-0.00458557016380623,137555.00393500002,-0.15945809267225786
2023-02-01,115620.74536999999,0.0,137555.00393500002,-0.15945809267225786
2023-02-02,115620.74536999999,0.0,137555.00393500002,-0.15945809267225786
2023-02-03,115620.74536999999,0.0,137555.00393500002,-0.15945809267225786
2023-02-04,115620.74536999999,0.0,137555.00393500002,-0.15945809267225786
2023-02-05,115620.74536999999,0.0,137555.00393500002,-0.15945809267225786
2023-02-06,115678.90061999999,0.0005029828324829566,137555.00393500002,-0.15903531452288955
2023-02-07,115678.90061999999,0.0,137555.00393500002,-0.15903531452288955
2023-02-08,115678.90061999999,0.0,137555.00393500002,-0.15903531452288955
2023-02-09,115678.90061999999,0.0,137555.00393500002,-0.15903531452288955
2023-02-10,114609.08696999997,-0.00924813119995238,137555.00393500002,-0.1668126662687085
2023-02-11,114609.08696999997,0.0,137555.00393500002,-0.1668126662687085
2023-02-12,114609.08696999997,0.0,137555.00393500002,-0.1668126662687085
2023-02-13,114609.08696999997,0.0,137555.00393500002,-0.1668126662687085
2023-02-14,114220.21031999998,-0.0033930699587702007,137555.00393500002,-0.16963972918082004
2023-02-15,114220.21031999998,0.0,137555.00393500002,-0.16963972918082004
2023-02-16,114220.21031999998,0.0,137555.00393500002,-0.16963972918082004
2023-02-17,114220.21031999998,0.0,137555.00393500002,-0.16963972918082004
2023-02-18,114220.21031999998,0.0,137555.00393500002,-0.16963972918082004
2023-02-19,114220.21031999998,0.0,137555.00393500002,-0.16963972918082004
2023-02-20,114220.21031999998,0.0,137555.00393500002,-0.16963972918082004
2023-02-21,114220.21031999998,0.0,137555.00393500002,-0.16963972918082004
2023-02-22,116987.61161999998,0.024228648259768004,137555.00393500002,-0.14952122225025644
2023-02-23,116987.61161999998,0.0,137555.00393500002,-0.14952122225025644
2023-02-24,116896.42896999998,-0.0007794214168264091,137555.00393500002,-0.150184103624191
2023-02-25,116281.96036999999,-0.005256521567118977,137555.00393500002,-0.1546511792115709
2023-02-26,116281.96036999999,0.0,137555.00393500002,-0.1546511792115709
2023-02-27,116281.96036999999,0.0,137555.00393500002,-0.1546511792115709
2023-02-28,116190.35481999998,-0.0007877881462311498,137555.00393500002,-0.1553171349920185
2023-03-01,116190.35481999998,0.0,137555.00393500002,-0.1553171349920185
2023-03-02,116190.35481999998,0.0,137555.00393500002,-0.1553171349920185
2023-03-03,114911.63556999998,-0.011005382090285898,137555.00393500002,-0.16461319266654872
2023-03-04,114911.63556999998,0.0,137555.00393500002,-0.16461319266654872
2023-03-05,114911.63556999998,0.0,137555.00393500002,-0.16461319266654872
2023-03-06,114859.04656999998,-0.00045764730211306226,137555.00393500002,-0.16499550518514572
2023-03-07,114836.96156999998,-0.00019227915135555662,137555.00393500002,-0.1651560591407869
2023-03-08,114589.70781999998,-0.002153085092287843,137555.00393500002,-0.16695354918423766
2023-03-09,114589.70781999998,0.0,137555.00393500002,-0.16695354918423766
2023-03-10,114589.70781999998,0.0,137555.00393500002,-0.16695354918423766
2023-03-11,114589.70781999998,0.0,137555.00393500002,-0.16695354918423766
2023-03-12,114499.62412,-0.0007861412836612791,137555.00393500002,-0.16760844139043152
2023-03-13,114402.35016999999,-0.0008495569373927481,137555.00393500002,-0.1683156054136754
2023-03-14,114402.35016999999,0.0,137555.00393500002,-0.1683156054136754
2023-03-15,114402.35016999999,0.0,137555.00393500002,-0.1683156054136754
2023-03-16,117999.46026999998,0.03144262416510446,137555.00393500002,-0.14216526557071507
2023-03-17,117999.46026999998,0.0,137555.00393500002,-0.14216526557071507
2023-03-18,117999.46026999998,0.0,137555.00393500002,-0.14216526557071507
2023-03-19,117999.46026999998,0.0,137555.00393500002,-0.14216526557071507
2023-03-20,117999.46026999998,0.0,137555.00393500002,-0.14216526557071507
2023-03-21,117999.46026999998,0.0,137555.00393500002,-0.14216526557071507
2023-03-22,117999.46026999998,0.0,137555.00393500002,-0.14216526557071507
2023-03-23,117999.46026999998,0.0,137555.00393500002,-0.14216526557071507
2023-03-24,117999.46026999998,0.0,137555.00393500002,-0.14216526557071507
2023-03-25,120463.67541999999,0.020883274757032888,137555.00393500002,-0.12425086711550193
2023-03-26,120463.67541999999,0.0,137555.00393500002,-0.12425086711550193
2023-03-27,120463.67541999999,0.0,137555.00393500002,-0.12425086711550193
2023-03-28,120463.67541999999,0.0,137555.00393500002,-0.12425086711550193
2023-03-29,120463.67541999999,0.0,137555.00393500002,-0.12425086711550193
2023-03-30,120463.67541999999,0.0,137555.00393500002,-0.12425086711550193
2023-03-31,120463.67541999999,0.0,137555.00393500002,-0.12425086711550193
2023-04-01,120463.67541999999,0.0,137555.00393500002,-0.12425086711550193
2023-04-02,120463.67541999999,0.0,137555.00393500002,-0.12425086711550193
2023-04-03,120482.12031999999,0.00015311586613719896,137555.00393500002,-0.12411677602850146
2023-04-04,119957.61101999998,-0.004353420230378657,137555.00393500002,-0.12792986377518822
2023-04-05,119650.72756999999,-0.002558265768970891,137555.00393500002,-0.13016085095283392
2023-04-06,119115.52011999999,-0.0044730814502309535,137555.00393500002,-0.13405171231512147
2023-04-07,119115.52011999999,0.0,137555.00393500002,-0.13405171231512147
2023-04-08,118844.30911999999,-0.002276873741782537,137555.00393500002,-0.13602336723309272
2023-04-09,118844.30911999999,0.0,137555.00393500002,-0.13602336723309272
2023-04-10,118844.30911999999,0.0,137555.00393500002,-0.13602336723309272
2023-04-11,118844.30911999999,0.0,137555.00393500002,-0.13602336723309272
2023-04-12,118844.30911999999,0.0,137555.00393500002,-0.13602336723309272
2023-04-13,118844.30911999999,0.0,137555.00393500002,-0.13602336723309272
2023-04-14,118844.30911999999,0.0,137555.00393500002,-0.13602336723309272
2023-04-15,118844.30911999999,0.0,137555.00393500002,-0.13602336723309272
2023-04-16,118844.30911999999,0.0,137555.00393500002,-0.13602336723309272
2023-04-17,121285.76581999999,0.020543320231975137,137555.00393500002,-0.11827441859321863
2023-04-18,121285.76581999999,0.0,137555.00393500002,-0.11827441859321863
2023-04-19,121285.76581999999,0.0,137555.00393500002,-0.11827441859321863
2023-04-20,121285.76581999999,0.0,137555.00393500002,-0.11827441859321863
2023-04-21,121285.76581999999,0.0,137555.00393500002,-0.11827441859321863
2023-04-22,121285.76581999999,0.0,137555.00393500002,-0.11827441859321863
2023-04-23,121285.76581999999,0.0,137555.00393500002,-0.11827441859321863
2023-04-24,121285.76581999999,0.0,137555.00393500002,-0.11827441859321863
2023-04-25,121285.76581999999,0.0,137555.00393500002,-0.11827441859321863
2023-04-26,121150.63966999999,-0.00111411383756721,137555.00393500002,-0.11925676126440088
2023-04-27,121150.63966999999,0.0,137555.00393500002,-0.11925676126440088
2023-04-28,121150.63966999999,0.0,137555.00393500002,-0.11925676126440088
2023-04-29,121150.63966999999,0.0,137555.00393500002,-0.11925676126440088
2023-04-30,121150.63966999999,0.0,137555.00393500002,-0.11925676126440088
2023-05-01,122625.67437,0.012175211819085874,137555.00393500002,-0.10853352577456721
2023-05-02,122625.67437,0.0,137555.00393500002,-0.10853352577456721
