Open time,Open,High,Low,Close,Volume,Taker buy base asset volume,Taker buy quote asset volume,Symbol
2021-01-01 00:00:00,28948.19,29546.42,28706.0,29302.11,43210.161,21852.599,639328184.27201,BTCUSDT
2021-01-01 04:00:00,29302.11,29422.32,28822.0,29107.71,26682.086,11772.871,343245686.28692,BTCUSDT
2021-01-01 08:00:00,29107.72,29454.45,28900.0,29341.99,29562.63,14611.792,427017709.91943,BTCUSDT
2021-01-01 12:00:00,29342.0,29668.86,29043.75,29210.84,49142.952,23957.859,704020630.83545,BTCUSDT
2021-01-01 16:00:00,29210.85,29388.1,28627.12,29048.47,43668.17,20013.294,582409167.03692,BTCUSDT
2021-01-01 20:00:00,29048.48,29350.0,28886.37,29337.16,18450.399,9039.487,264154209.27135,BTCUSDT
2021-01-02 00:00:00,29337.15,29500.0,28958.24,29364.67,29426.166,14374.003,420910837.89948,BTCUSDT
2021-01-02 04:00:00,29364.68,29878.0,29230.0,29777.33,36908.714,19713.021,583986273.56519,BTCUSDT
2021-01-02 08:00:00,29778.77,29950.0,29491.09,29775.52,44090.157,20810.36,619555487.90663,BTCUSDT
2021-01-02 12:00:00,29775.0,31873.02,29759.68,31717.01,144214.429,75740.689,2342430928.188,BTCUSDT
2021-01-02 16:00:00,31720.79,33480.0,31718.43,33115.41,153245.839,77522.676,2532753806.39472,BTCUSDT
2021-01-02 20:00:00,33115.41,33146.49,30528.0,32199.91,137655.775,65227.714,2079327195.75492,BTCUSDT
2021-01-03 00:00:00,32198.41,32928.16,32000.02,32601.49,40696.593,20046.174,652594689.28748,BTCUSDT
2021-01-03 04:00:00,32601.49,34832.25,32472.0,34472.24,111294.252,58059.083,1971190077.23928,BTCUSDT
2021-01-03 08:00:00,34476.0,34743.92,33457.0,34464.06,96700.107,46441.161,1586271096.40138,BTCUSDT
2021-01-03 12:00:00,34464.07,34663.0,32826.35,33540.46,94643.927,44530.328,1506600877.43508,BTCUSDT
2021-01-03 16:00:00,33538.81,33886.96,32400.0,32823.72,86004.342,40632.143,1340981206.70182,BTCUSDT
2021-01-03 20:00:00,32823.72,33948.13,32703.33,33054.53,58147.768,29052.768,971727565.66263,BTCUSDT
2021-01-04 00:00:00,33053.93,33647.69,32457.0,33562.22,46061.748,22538.084,745550593.3076,BTCUSDT
2021-01-04 04:00:00,33562.23,33653.56,31692.1,32186.58,70760.005,33561.721,1099698482.90836,BTCUSDT
2021-01-04 08:00:00,32187.38,32642.7,27800.0,30760.39,185511.509,85269.936,2593527694.62802,BTCUSDT
2021-01-04 12:00:00,30757.33,32190.01,30472.48,31758.38,90364.403,45065.668,1415463244.44587,BTCUSDT
2021-01-04 16:00:00,31755.02,31940.0,30661.66,31689.27,71952.622,35594.199,1112917506.24123,BTCUSDT
2021-01-04 20:00:00,31691.15,32075.19,30900.0,32031.07,41477.736,20917.591,659005388.87552,BTCUSDT
2021-01-05 00:00:00,32029.55,32900.0,31155.17,31217.58,71235.479,33677.924,1088155573.53266,BTCUSDT
2021-01-05 04:00:00,31218.96,31575.46,29900.0,30844.23,103862.061,51216.068,1581299099.0239,BTCUSDT
2021-01-05 08:00:00,30844.25,31850.0,30840.0,31824.53,48811.217,25259.526,793916740.55427,BTCUSDT
2021-01-05 12:00:00,31816.47,32450.05,31142.74,32133.79,60353.728,28920.041,921587043.75236,BTCUSDT
2021-01-05 16:00:00,32130.05,34300.0,31802.25,33747.0,88437.876,45518.734,1507255211.87547,BTCUSDT
2021-01-05 20:00:00,33747.0,34500.0,33405.0,33999.52,61020.472,29824.789,1012775890.09962,BTCUSDT
2021-01-06 00:00:00,33999.51,34244.66,33356.46,34182.5,51226.021,24389.74,826090641.98582,BTCUSDT
2021-01-06 04:00:00,34182.5,35948.66,34173.2,34718.61,101468.715,50821.716,1785058838.05492,BTCUSDT
2021-01-06 08:00:00,34716.88,35350.0,33650.0,34994.66,78586.335,39245.094,1353363071.29202,BTCUSDT
2021-01-06 12:00:00,34994.67,35195.53,34113.48,34606.4,52222.198,26246.365,909098479.9433,BTCUSDT
2021-01-06 16:00:00,34606.39,35749.67,34371.33,34861.7,62878.183,32183.868,1130391148.00732,BTCUSDT
2021-01-06 20:00:00,34861.71,37037.51,34330.0,36823.68,97638.378,48350.105,1731678805.00579,BTCUSDT
2021-01-07 00:00:00,36825.77,37795.42,36500.0,37555.54,65150.225,32215.17,1195764198.78883,BTCUSDT
2021-01-07 04:00:00,37554.98,37790.36,36751.0,36906.64,44904.742,21413.174,798497830.95065,BTCUSDT
2021-01-07 08:00:00,36909.86,38055.0,36337.36,37920.0,50755.317,26067.733,970174268.13992,BTCUSDT
2021-01-07 12:00:00,37919.72,39050.0,37558.8,39049.99,71581.266,36143.765,1385050608.43785,BTCUSDT
2021-01-07 16:00:00,39050.0,40565.62,36690.56,39128.05,211417.177,104489.892,4072161374.26891,BTCUSDT
2021-01-07 20:00:00,39128.04,40129.87,38426.23,39498.92,76339.181,37615.234,1478838115.03495,BTCUSDT
2021-01-08 00:00:00,39498.32,39818.77,36539.77,38374.71,94854.418,45165.356,1720876660.89959,BTCUSDT
2021-01-08 04:00:00,38374.72,39200.0,37615.0,38965.76,50960.45,24742.318,953520196.95275,BTCUSDT
2021-01-08 08:00:00,38965.8,41800.0,38250.87,41399.98,97659.08,50785.842,2043950894.39851,BTCUSDT
2021-01-08 12:00:00,41399.98,42125.51,39726.37,40879.4,114343.463,54854.11,2258926988.66573,BTCUSDT
2021-01-08 16:00:00,40877.97,41689.84,39800.0,40426.44,74496.712,36465.392,1487610869.97125,BTCUSDT
2021-01-08 20:00:00,40426.44,41000.0,38655.0,40637.23,85766.703,42331.149,1687979655.15545,BTCUSDT
2021-01-09 00:00:00,40638.91,41045.93,39545.0,40275.85,47033.184,22466.75,904415138.33268,BTCUSDT
2021-01-09 04:00:00,40275.84,40555.0,38733.28,39683.38,52466.203,25350.143,1002904342.55719,BTCUSDT
2021-01-09 08:00:00,39683.38,41375.0,39330.24,40639.04,54381.641,27134.663,1098885457.92617,BTCUSDT
2021-01-09 12:00:00,40639.69,41539.88,40250.0,40600.0,44530.016,21265.166,870359342.90132,BTCUSDT
2021-01-09 16:00:00,40600.01,40980.48,39850.0,40769.42,32067.013,15295.963,619824730.00519,BTCUSDT
2021-01-09 20:00:00,40769.42,40892.0,39901.0,40136.04,30404.748,14592.63,590491779.47543,BTCUSDT
2021-01-10 00:00:00,40136.05,41412.12,40125.56,40393.5,43262.566,21765.361,890022608.52977,BTCUSDT
2021-01-10 04:00:00,40388.17,41153.43,40100.0,41056.69,29130.303,15533.011,632387163.16838,BTCUSDT
2021-01-10 08:00:00,41056.69,41226.26,38847.01,39233.99,71766.663,32937.123,1321768633.30348,BTCUSDT
2021-01-10 12:00:00,39233.99,40118.09,38500.0,39723.0,66000.225,32954.551,1303588281.57877,BTCUSDT
2021-01-10 16:00:00,39723.0,39813.81,37184.9,37531.91,107252.238,50309.742,1929109614.30594,BTCUSDT
2021-01-10 20:00:00,37533.15,39080.0,35268.0,38221.67,119347.053,58217.435,2185119634.32362,BTCUSDT
2021-01-11 00:00:00,38200.01,38322.18,33600.0,35473.52,150147.346,71068.802,2563036624.48639,BTCUSDT
2021-01-11 04:00:00,35469.47,36003.03,32600.0,34399.95,185211.133,90751.202,3112855347.65224,BTCUSDT
2021-01-11 08:00:00,34399.95,36399.99,34077.0,34218.66,99708.144,48841.535,1723998907.90629,BTCUSDT
2021-01-11 12:00:00,34225.1,35146.14,31146.15,31618.49,204420.217,99046.328,3283213307.02581,BTCUSDT
2021-01-11 16:00:00,31618.49,33570.58,30448.0,32282.08,169217.959,84228.513,2686437895.4958,BTCUSDT
2021-01-11 20:00:00,32284.74,35619.0,31441.65,35408.46,97570.852,49760.21,1683329965.57185,BTCUSDT
2021-01-12 00:00:00,35406.92,35536.55,33727.32,35020.0,61524.382,30010.706,1040368316.16559,BTCUSDT
2021-01-12 04:00:00,35019.09,36693.44,34543.79,36452.84,64194.518,33294.523,1188673889.50459,BTCUSDT
2021-01-12 08:00:00,36447.1,36550.0,34789.92,35451.0,70760.384,33899.511,1208879729.08244,BTCUSDT
2021-01-12 12:00:00,35452.47,35720.0,32600.0,33861.95,117197.317,56675.683,1927077033.15203,BTCUSDT
2021-01-12 16:00:00,33861.94,35584.79,33840.77,34722.18,65893.912,32683.248,1137835146.53679,BTCUSDT
2021-01-12 20:00:00,34722.18,35075.21,33300.0,34056.9,69495.18,35716.157,1217091151.23065,BTCUSDT
2021-01-13 00:00:00,34065.53,34430.0,32420.0,33842.49,90756.065,44299.607,1474484699.81717,BTCUSDT
