Open time,Open,High,Low,Close,Volume,Taker buy base asset volume,Taker buy quote asset volume,Symbol,Rolling_Std_Close,Rolling_Mean_Close,ATR,direction
2024-01-01 00:00:00,42314.0,42603.2,42289.6,42503.5,8459.477,4687.976,199033806.82405,BTCUSDT,,,,0
2024-01-01 01:00:00,42503.5,42832.0,42462.0,42647.9,9043.411,4783.838,204180582.72378,BTCUSDT,,,,0
2024-01-01 02:00:00,42647.9,42676.9,42530.0,42620.4,4653.067,2141.259,91220775.7283,BTCUSDT,,,,0
2024-01-01 03:00:00,42620.5,42630.0,42270.0,42369.8,8119.88,3501.132,148472554.5387,BTCUSDT,,,,0
2024-01-01 04:00:00,42369.8,42439.8,42235.2,42436.6,6356.536,3155.432,133634583.6504,BTCUSDT,,,,0
2024-01-01 05:00:00,42436.6,42440.0,42207.9,42272.6,4139.557,1696.938,71827449.3563,BTCUSDT,,,,0
2024-01-01 06:00:00,42272.6,42461.3,42239.1,42423.3,3933.019,2299.336,97402647.33586,BTCUSDT,,,,0
2024-01-01 07:00:00,42423.4,42536.0,42421.7,42527.0,4455.05,2086.176,88649535.7181,BTCUSDT,,,,0
2024-01-01 08:00:00,42527.1,42597.3,42489.4,42588.2,3673.746,1791.092,76203008.49659,BTCUSDT,,,,0
2024-01-01 09:00:00,42588.2,42734.2,42570.0,42688.8,5779.875,2833.179,120867357.60832,BTCUSDT,,,,0
2024-01-01 10:00:00,42688.8,42795.0,42661.1,42727.7,5806.743,2905.872,124163066.9396,BTCUSDT,,,,0
2024-01-01 11:00:00,42727.7,42800.0,42638.0,42727.6,5965.038,2717.682,116111126.10389,BTCUSDT,,,,0
2024-01-01 12:00:00,42727.7,42825.2,42651.1,42682.0,6380.463,3286.256,140482284.87473,BTCUSDT,,,,0
2024-01-01 13:00:00,42682.0,42787.5,42647.9,42753.9,3269.775,1772.19,75726341.5533,BTCUSDT,,,,0
2024-01-01 14:00:00,42753.8,42755.8,42614.5,42645.6,5333.959,2391.936,102050950.8836,BTCUSDT,,,,0
2024-01-01 15:00:00,42645.5,42887.5,42617.6,42818.0,8176.63,4387.517,187652447.23899,BTCUSDT,,,,0
2024-01-01 16:00:00,42818.0,42898.9,42693.1,42759.7,7126.615,3470.444,148567141.0507,BTCUSDT,,,,0
2024-01-01 17:00:00,42759.7,42860.8,42734.8,42847.0,3411.019,1670.386,71481957.2102,BTCUSDT,,,,0
2024-01-01 18:00:00,42847.0,43268.0,42847.0,43148.0,18895.526,10240.301,441266988.1441,BTCUSDT,,,,0
2024-01-01 19:00:00,43148.0,43593.2,43133.3,43556.2,17037.283,9415.678,408614035.9608,BTCUSDT,,,,0
2024-01-01 20:00:00,43556.2,43915.5,43548.5,43753.3,23648.197,13207.671,577785614.29074,BTCUSDT,,,,0
2024-01-01 21:00:00,43753.2,43853.0,43531.8,43679.8,10536.944,4713.037,205893025.8754,BTCUSDT,,,,0
2024-01-01 22:00:00,43679.7,43723.8,43426.0,43583.9,6632.907,3314.391,144332185.9245,BTCUSDT,,,,0
2024-01-01 23:00:00,43584.0,44266.0,43583.9,44230.2,25589.427,14789.843,650474448.71751,BTCUSDT,509.4261778238085,42874.625,255.7250000000004,-1
2024-01-02 00:00:00,44230.3,45376.0,44200.9,45179.8,59371.002,32022.042,1433705417.00703,BTCUSDT,686.721980838967,42986.1375,291.6208333333337,-1
2024-01-02 01:00:00,45179.7,45485.7,44750.0,44926.3,33741.976,16237.08,732444703.08894,BTCUSDT,787.9536686220409,43081.07083333333,306.8583333333336,-1
2024-01-02 02:00:00,44926.5,45428.0,44926.5,45420.0,18557.82,9533.905,430717494.48358,BTCUSDT,913.9458484477816,43197.72083333333,321.6416666666667,-1
2024-01-02 03:00:00,45420.0,45565.0,45167.3,45435.0,18878.543,8677.513,393845557.37809,BTCUSDT,1003.0457823928564,43325.4375,323.2124999999999,-1
2024-01-02 04:00:00,45434.9,45484.4,45193.1,45211.7,11326.594,5063.767,229520056.4428,BTCUSDT,1054.7489083711614,43441.06666666667,326.8249999999998,-1
2024-01-02 05:00:00,45211.5,45366.0,45153.0,45218.2,7931.571,3793.405,171719811.61323,BTCUSDT,1083.848942627521,43563.8,326.0291666666665,-1
2024-01-02 06:00:00,45218.2,45346.2,45163.9,45202.9,5712.13,2587.299,117111914.69303,BTCUSDT,1104.983587392053,43679.61666666667,324.36666666666616,-1
2024-01-02 07:00:00,45202.9,45832.8,45202.5,45495.5,21647.544,11037.717,502312665.30802,BTCUSDT,1136.0588148733607,43803.30416666667,345.86666666666616,-1
2024-01-02 08:00:00,45495.6,45905.9,45365.0,45816.8,27098.848,14021.427,641306602.51217,BTCUSDT,1176.3584456238657,43937.82916666666,363.9083333333329,-1
2024-01-02 09:00:00,45816.8,45950.0,45667.7,45730.5,14217.371,7137.204,326945687.04521,BTCUSDT,1199.564030103795,44064.56666666667,368.8291666666664,-1
2024-01-02 10:00:00,45730.0,45772.8,45478.0,45655.7,13818.668,6111.266,278849026.5672,BTCUSDT,1206.5620514743484,44186.56666666666,375.53333333333313,-1
2024-01-02 11:00:00,45655.7,45767.6,45258.0,45486.8,17990.732,8693.897,395433458.6627,BTCUSDT,1192.8778244472433,44301.53333333333,390.0166666666664,-1
2024-01-02 12:00:00,45486.8,45655.0,45323.2,45355.1,15529.751,7594.235,345494473.73463,BTCUSDT,1159.4115720119555,44412.9125,396.5874999999999,-1
2024-01-02 13:00:00,45355.1,45760.0,45316.4,45686.3,14990.782,7510.783,342270932.5627,BTCUSDT,1131.1462499065076,44535.09583333333,409.2541666666666,-1
2024-01-02 14:00:00,45686.2,45850.0,45026.0,45293.6,35837.352,16659.632,756730476.93338,BTCUSDT,1066.103912252945,44645.42916666667,437.6999999999998,-1
2024-01-02 15:00:00,45293.5,45359.9,44868.1,45215.0,32589.488,15877.88,716865970.09651,BTCUSDT,997.53602723615,44745.30416666667,446.9458333333332,-1
2024-01-02 16:00:00,45215.0,45449.2,44918.0,45393.4,20683.503,10396.844,469901118.05852,BTCUSDT,910.6897896490548,44855.04166666666,460.5041666666663,-1
2024-01-02 17:00:00,45393.4,45423.5,44979.9,45001.2,12326.341,5811.239,262411107.8368,BTCUSDT,804.0916846923187,44944.8,473.7374999999996,-1
