timestamp,side,quantity,price,position,reason,profit_or_loss,atr,gross_pnl,fee,turnover,long_gross_pnl,long_position_usd,long_turnover,short_gross_pnl,short_position_usd,short_turnover
2024-12-29 08:00:45,SELL,0.0001,95144.68,SHORT,ENTER,0.0,3.065714285714161,0.0,0.0,9.514467999999999,0.0,0.0,0.0,0.0,-9.514467999999999,9.514467999999999
2024-12-29 08:00:55,BUY,0.0001,95100.02,SHORT,Take Profit,0.0044659999999988945,4.5907142857135375,0.0044659999999988945,0.0,9.510002,0.0,0.0,0.0,0.0044659999999988945,0.0,0.0
2024-12-29 08:01:09,BUY,0.0001,95085.96,LONG,ENTER,0.0,2.475714285714535,0.0,0.0,9.508596,0.0,9.508596,9.508596,0.0,0.0,0.0
2024-12-29 08:01:17,SELL,0.0001,95079.85,LONG,Stop Loss,-0.0006110000000000582,1.434285714285839,-0.0006110000000000582,0.0,9.507985000000001,-0.0006110000000000582,0.0,0.0,0.0,0.0,0.0
2024-12-29 08:01:26,BUY,0.0001,95071.99,LONG,ENTER,0.0,2.743571428571678,0.0,0.0,9.507199000000002,0.0,9.507199000000002,9.507199000000002,0.0,0.0,0.0
2024-12-29 08:01:40,SELL,0.0001,95077.11,LONG,Take Profit,0.0005119999999995343,0.3657142857139531,0.0005119999999995343,0.0,9.507711,0.0005119999999995343,0.0,0.0,0.0,0.0,0.0
2024-12-29 08:01:43,SELL,0.0001,95074.62,SHORT,ENTER,0.0,0.1785714285714285,0.0,0.0,9.507462,0.0,0.0,0.0,0.0,-9.507462,9.507462
2024-12-29 08:01:44,BUY,0.0001,95056.01,SHORT,Take Profit,0.0018610000000000584,0.1785714285714285,0.0018610000000000584,0.0,9.507462,0.0,0.0,0.0,0.0018610000000000584,0.0,0.0
2024-12-29 08:01:59,BUY,0.0001,95074.62,LONG,ENTER,0.0,2.659999999999335,0.0,0.0,9.507462,0.0,9.507462,9.507462,0.0,0.0,0.0
2024-12-29 08:02:09,SELL,0.0001,95111.99,LONG,Take Profit,0.0037370000000009895,3.999285714286089,0.0037370000000009895,0.0,9.511199000000001,0.0037370000000009895,0.0,0.0,0.0,0.0,0.0
2024-12-29 08:02:11,SELL,0.0001,95095.64,SHORT,ENTER,0.0,5.167142857143647,0.0,0.0,9.509564000000001,0.0,0.0,0.0,0.0,-9.509564000000001,9.509564000000001
2024-12-29 08:02:24,BUY,0.0001,95080.42,SHORT,Take Profit,0.0015220000000001166,1.6007142857145351,0.0015220000000001166,0.0,9.508042,0.0,0.0,0.0,0.0015220000000001166,0.0,0.0
2024-12-29 08:02:52,BUY,0.0001,95079.15,LONG,ENTER,0.0,0.0007142857139115,0.0,0.0,9.507915,0.0,9.507915,9.507915,0.0,0.0,0.0
2024-12-29 08:02:55,SELL,0.0001,95085.95,LONG,Take Profit,0.000680000000000291,0.4864285714284051,0.000680000000000291,0.0,9.508595,0.000680000000000291,0.0,0.0,0.0,0.0,0.0
2024-12-29 08:03:08,SELL,0.0001,95099.53,SHORT,ENTER,0.0,2.180000000000291,0.0,0.0,9.509953000000001,0.0,0.0,0.0,0.0,-9.509953000000001,9.509953000000001
2024-12-29 08:03:22,BUY,0.0001,95071.85,SHORT,Take Profit,0.002767999999999302,2.528571428573092,0.002767999999999302,0.0,9.507185000000002,0.0,0.0,0.0,0.002767999999999302,0.0,0.0
2024-12-29 08:03:25,BUY,0.0001,95071.84,LONG,ENTER,0.0,0.2771428571452686,0.0,0.0,9.507184,0.0,9.507184,9.507184,0.0,0.0,0.0
2024-12-29 08:03:30,SELL,0.0001,95071.1,LONG,Stop Loss,-7.399999999906868e-05,0.1278571428577249,-7.399999999906868e-05,0.0,9.50711,-7.399999999906868e-05,0.0,0.0,0.0,0.0,0.0
2024-12-29 08:03:55,BUY,0.0001,95057.95,LONG,ENTER,0.0,0.0014285714299018,0.0,0.0,9.505796000000002,0.0,9.505796000000002,9.505796000000002,0.0,0.0,0.0
2024-12-29 08:03:57,SELL,0.0001,95050.59,LONG,Stop Loss,-0.0007360000000000582,0.5278571428591802,-0.0007360000000000582,0.0,9.505059,-0.0007360000000000582,0.0,0.0,0.0,0.0,0.0
2024-12-29 08:04:12,BUY,0.0001,95034.49,LONG,ENTER,0.0,3.160000000000374,0.0,0.0,9.503449000000002,0.0,9.503449000000002,9.503449000000002,0.0,0.0,0.0
2024-12-29 08:04:18,SELL,0.0001,95020.01,LONG,Stop Loss,-0.0014480000000010478,4.709285714285215,-0.0014480000000010478,0.0,9.502921,-0.0014480000000010478,0.0,0.0,0.0,0.0,0.0
2024-12-29 08:04:24,BUY,0.0001,95035.64,LONG,ENTER,0.0,4.801428571428654,0.0,0.0,9.503564,0.0,9.503564,9.503564,0.0,0.0,0.0
2024-12-29 08:04:27,SELL,0.0001,95024.01,LONG,Stop Loss,-0.0011630000000004657,3.805000000000291,-0.0011630000000004657,0.0,9.502401,-0.0011630000000004657,0.0,0.0,0.0,0.0,0.0
2024-12-29 08:05:09,BUY,0.0001,95015.99,LONG,ENTER,0.0,1.1457142857127889,0.0,0.0,9.501599,0.0,9.501599,9.501599,0.0,0.0,0.0
2024-12-29 08:05:17,SELL,0.0001,95055.16,LONG,Take Profit,0.003916999999999825,4.019999999998878,0.003916999999999825,0.0,9.505516,0.003916999999999825,0.0,0.0,0.0,0.0,0.0
2024-12-29 08:05:19,SELL,0.0001,95036.85,SHORT,ENTER,0.0,5.703571428570805,0.0,0.0,9.503685,0.0,0.0,0.0,0.0,-9.503685,9.503685
2024-12-29 08:05:33,BUY,0.0001,95012.0,SHORT,Take Profit,0.0024850000000005822,2.346428571428987,0.0024850000000005822,0.0,9.5012,0.0,0.0,0.0,0.0024850000000005822,0.0,0.0
2024-12-29 08:05:34,BUY,0.0001,95023.99,LONG,ENTER,0.0,3.202857142857933,0.0,0.0,9.502399,0.0,9.502399,9.502399,0.0,0.0,0.0
2024-12-29 08:05:36,SELL,0.0001,95009.84,LONG,Stop Loss,-0.0014150000000008732,4.213571428572842,-0.0014150000000008732,0.0,9.500984,-0.0014150000000008732,0.0,0.0,0.0,0.0,0.0
2024-12-29 08:05:50,BUY,0.0001,95004.0,LONG,ENTER,0.0,1.2785714285710128,0.0,0.0,9.5004,0.0,9.5004,9.5004,0.0,0.0,0.0
2024-12-29 08:05:58,SELL,0.0001,95015.49,LONG,Take Profit,0.001149000000000524,1.2528571428587645,0.001149000000000524,0.0,9.501549,0.001149000000000524,0.0,0.0,0.0,0.0,0.0
2024-12-29 08:05:59,SELL,0.0001,95010.38,SHORT,ENTER,0.0,1.1871428571446034,0.0,0.0,9.501038000000001,0.0,0.0,0.0,0.0,-9.501038000000001,9.501038000000001
2024-12-29 08:06:13,BUY,0.0001,95002.0,SHORT,Take Profit,0.0008380000000004657,0.5985714285717612,0.0008380000000004657,0.0,9.500200000000001,0.0,0.0,0.0,0.0008380000000004657,0.0,0.0
2024-12-29 08:06:16,BUY,0.0001,95013.38,LONG,ENTER,0.0,2.0892857142867536,0.0,0.0,9.501338,0.0,9.501338,9.501338,0.0,0.0,0.0
2024-12-29 08:06:25,SELL,0.0001,95006.74,LONG,Stop Loss,-0.0006639999999999419,1.965000000000665,-0.0006639999999999419,0.0,9.500674000000002,-0.0006639999999999419,0.0,0.0,0.0,0.0,0.0
2024-12-29 08:06:33,BUY,0.0001,95031.99,LONG,ENTER,0.0,2.18999999999921,0.0,0.0,9.503199,0.0,9.503199,9.503199,0.0,0.0,0.0
2024-12-29 08:06:37,SELL,0.0001,95016.99,LONG,Stop Loss,-0.0015,2.875,-0.0015,0.0,9.501699,-0.0015,0.0,0.0,0.0,0.0,0.0
2024-12-29 08:06:50,BUY,0.0001,95043.96,LONG,ENTER,0.0,3.733571428572759,0.0,0.0,9.504396000000002,0.0,9.504396000000002,9.504396000000002,0.0,0.0,0.0
2024-12-29 08:07:04,SELL,0.0001,95040.01,LONG,Stop Loss,-0.00039500000000116417,0.0007142857149509,-0.00039500000000116417,0.0,9.504395,-0.00039500000000116417,0.0,0.0,0.0,0.0,0.0
