timestamp,side,quantity,price,position,reason,profit_or_loss,gross_pnl,fee,turnover
2024-12-29 08:06:49,BUY,0.0001,95008.54,LONG,ENTER,0.0,0.0,0.0019001708000000001,9.500854
2024-12-29 08:08:00,SELL,0.0001,95014.37,LONG,Exit Long,-0.0013172873999998252,0.0005830000000001746,0.0019002874,9.501437
2024-12-29 08:08:01,SELL,0.0001,95014.37,SHORT,ENTER,0.0,0.0,0.0019002874,9.501437
2024-12-29 08:10:54,BUY,0.0001,95027.99,SHORT,Exit Short,-0.00326255980000099,-0.0013620000000009896,0.0019005598000000003,9.502799000000001
2024-12-29 08:10:55,BUY,0.0001,95027.99,LONG,ENTER,0.0,0.0,0.0019005598000000003,9.502799000000001
2024-12-29 08:12:01,SELL,0.0001,95065.08,LONG,Exit Long,0.0018076983999996508,0.003708999999999651,0.0019013016000000002,9.506508
2024-12-29 08:12:02,SELL,0.0001,95065.08,SHORT,ENTER,0.0,0.0,0.0019013016000000002,9.506508
2024-12-29 08:15:06,BUY,0.0001,95025.33,SHORT,Exit Short,0.0020744934,0.003975,0.0019005066000000004,9.502533000000001
2024-12-29 08:15:07,BUY,0.0001,95025.33,LONG,ENTER,0.0,0.0,0.0019005066000000004,9.502533000000001
2024-12-29 08:17:02,SELL,0.0001,95045.79,LONG,Exit Long,0.00014508419999918515,0.002045999999999185,0.0019009158,9.504579
2024-12-29 08:18:35,SELL,0.0001,95020.55,SHORT,ENTER,0.0,0.0,0.001900411,9.502055
2024-12-29 08:18:51,BUY,0.0001,95017.0,SHORT,Exit Short,-0.0015453399999997089,0.00035500000000029106,0.00190034,9.5017
2024-12-29 08:19:03,SELL,0.0001,95064.19,SHORT,ENTER,0.0,0.0,0.0019012838000000002,9.506419000000001
2024-12-29 08:27:51,BUY,0.0001,94994.54,SHORT,Exit Short,0.005065109200000873,0.006965000000000873,0.0018998908,9.499454
2024-12-29 08:27:52,BUY,0.0001,94994.54,LONG,ENTER,0.0,0.0,0.0018998908,9.499454
2024-12-29 08:33:21,SELL,0.0001,95000.23,LONG,Exit Long,-0.0013310045999997675,0.0005690000000002328,0.0019000046000000003,9.500023
2024-12-29 08:33:22,SELL,0.0001,95000.23,SHORT,ENTER,0.0,0.0,0.0019000046000000003,9.500023
2024-12-29 08:33:45,BUY,0.0001,94991.79,SHORT,Exit Short,-0.0010558357999997671,0.0008440000000002329,0.0018998358,9.499179
2024-12-29 08:33:46,BUY,0.0001,94991.79,LONG,ENTER,0.0,0.0,0.0018998358,9.499179
